Year;United States Census Bureau;Population Reference Bureau;United Nations Depart000000ent of Econo000000ic and Social Affairs;000000addison;HYDE;Tanton;Biraben;000000cEvedy &;Tho000000linson;Durand;Clark
-10000;;;;2000000;;;4000000;5000000;;;
-9000;;;;4000000;;;;;;;
-8000;5000000;;;5000000;;;;;8000000;;
-7000;;;;8000000;;;;;;;
-6000;;;;11000000;;;;;;;
-5000;;;;18000000;;;5000000;12000000;;;
-4000;;;;28000000;;;7000000;;;;
-3000;;;;45000000;;;14000000;;;;
-2000;;;;72000000;;;27000000;;;;
-1000;;;;115000000;;;50000000;;;;
-200;;;;;;;150000000;;;;
0;300000000;300000000;231000000;188000000;150000000;255000000;170000000;200000000;300000000;256000000;
100;300000000;;;195000000;;;;;;;
200;300000000;;;202000000;;256000000;190000000;;;;
300;300000000;;;205000000;;;;;;;
350;;;;;;;;;;254000000;
400;300000000;;;209000000;;206000000;190000000;;;;
500;280000000;;;210000000;;206000000;190000000;;;;
600;300000000;;;213000000;;206000000;200000000;;;237000000;
700;310000000;;;226000000;;207000000;210000000;;;;
800;330000000;;;240000000;;224000000;220000000;;;261000000;
900;360000000;;;269000000;;226000000;240000000;;;;
1000;400000000;310000000;267000000;295000000;;254000000;265000000;;320000000;280000000;
1100;;;;353000000;;301000000;320000000;;;;
1200;450000000;;;393000000;;400000000;360000000;;;384000000;
1250;;400000000;;;;416000000;;;;;
1300;500000000;;;392000000;300000000;432000000;360000000;400000000;;;
1340;;;;;;443000000;;;;378000000;
1400;440000000;;;390000000;;374000000;350000000;;;;
1500;500000000;500000000;438000000;461000000;460000000;425000000;;;490000000;427000000;
1600;560000000;;556000000;554000000;;579000000;545000000;;;498000000;
1650;500000000;;;;;;545000000;500000000;;516000000;
1700;760000000;;603000000;603000000;600000000;679000000;610000000;600000000;;641000000;
1750;795000000;791000000;;814000000;;770000000;720000000;700000000;760000000;731000000;
1800;1000000000;978000000;;989000000;900000000;954000000;900000000;900000000;;890000000;
1820;;;1042000000;;;;;;;;
1850;1265000000;1262000000;;1263000000;;1241000000;1200000000;1200000000;;;
1870;;;1276000000;;;;;;;;
1875;;;;;;;1325000000;;;;
1900;1656000000;1650000000;1563000000;1654000000;1600000000;1633000000;1625000000;1600000000;1670000000;1668000000;
1910;;1750000000;;1777000000;;;;;;;
1913;;;1793000000;;;;;;;;
1920;;1860000000;1863000000;1912000000;;;;;;1968000000;
1925;;;;;;;2000000000;;;;
1930;;2070000000;;2092000000;;;;;;2145000000;
1940;;2300000000;2299000000;2307000000;;;;;;2340000000;
1950;2557628654;2516000000;2525149000;2544000000;2527960000;2400000000;2527000000;2500000000;2400000000;;2486000000
