Year,Unmanned_s,Manned_s,Total_s,Unmanned_f,Manned_f,Total_f
1957,3,-,3,1,-,1
1958,28,-,28,22,-,22
1959,23,-,23,9,-,9
1960,40,-,40,19,-,19
1961,48,2,50,22,0,22
1962,76,5,81,13,0,13
1963,67,3,70,16,0,16
1964,99,1,100,14,0,14
1965,119,6,125,15,0,15
1966,129,5,134,18,0,18
1967,140,1,141,13,0,13
1968,128,3,131,14,0,14
1969,118,9,127,20,0,20
1970,122,2,124,12,0,12
1971,130,4,134,15,0,15
1972,111,2,113,7,0,7
1973,112,5,117,8,0,8
1974,110,3,113,8,0,8
1975,128,4,132,7,1,8
1976,128,3,131,8,0,8
1977,127,3,130,7,0,7
1978,121,5,126,5,0,5
1979,108,3,111,5,0,5
1980,103,6,109,7,0,7
1981,121,5,126,5,0,5
1982,123,6,129,10,0,10
1983,121,7,128,1,1,2
1984,121,8,129,3,0,3
1985,114,11,125,6,1,7
1986,107,3,110,7,1,8
1987,111,3,114,6,0,6
1988,116,5,121,7,0,7
1989,96,6,102,1,0,1
1990,111,9,120,6,0,6
1991,83,8,91,5,0,5
1992,88,10,98,5,0,5
1993,74,9,83,5,0,5
1994,83,10,93,5,0,5
1995,71,9,80,8,0,8
1996,68,9,77,8,0,8
1997,79,10,89,6,0,6
1998,75,7,82,7,0,7
1999,74,4,78,8,0,8
2000,78,7,85,4,0,4
2001,51,8,59,3,0,3
2002,58,7,65,4,0,4
2003,59,4,63,2,1,3
2004,52,2,54,4,0,4
2005,51,4,55,3,0,3
2006,61,5,66,4,0,4
2007,63,5,68,5,0,5
2008,61,7,68,3,0,3
2009,69,9,78,5,0,5
2010,67,7,74,4,0,4
2011,77,7,84,6,0,6
2012,73,5,78,6,0,6
2013,76,5,81,3,0,3
2014,92,4,96,4,0,4
2015,86,4,90,5,0,5
