Year,Unmanned,Manned,Total
1957,1,0,1
1958,22,0,22
1959,9,0,9
1960,19,0,19
1961,22,0,22
1962,13,0,13
1963,16,0,16
1964,14,0,14
1965,15,0,15
1966,18,0,18
1967,13,0,13
1968,14,0,14
1969,20,0,20
1970,12,0,12
1971,15,0,15
1972,7,0,7
1973,8,0,8
1974,8,0,8
1975,7,1,8
1976,8,0,8
1977,7,0,7
1978,5,0,5
1979,5,0,5
1980,7,0,7
1981,5,0,5
1982,10,0,10
1983,1,1,2
1984,3,0,3
1985,6,1,7
1986,7,1,8
1987,6,0,6
1988,7,0,7
1989,1,0,1
1990,6,0,6
1991,5,0,5
1992,5,0,5
1993,5,0,5
1994,5,0,5
1995,8,0,8
1996,8,0,8
1997,6,0,6
1998,7,0,7
1999,8,0,8
2000,4,0,4
2001,3,0,3
2002,4,0,4
2003,2,1,3
2004,4,0,4
2005,3,0,3
2006,4,0,4
2007,5,0,5
2008,3,0,3
2009,5,0,5
2010,4,0,4
2011,6,0,6
2012,6,0,6
2013,3,0,3
2014,4,0,4
2015,5,0,5
