Year,Unmanned ,Manned,Total
1957,3,0,3
1958,28,0,28
1959,23,0,23
1960,40,0,40
1961,48,2,50
1962,76,5,81
1963,67,3,70
1964,99,1,100
1965,119,6,125
1966,129,5,134
1967,140,1,141
1968,128,3,131
1969,118,9,127
1970,122,2,124
1971,130,4,134
1972,111,2,113
1973,112,5,117
1974,110,3,113
1975,128,4,132
1976,128,3,131
1977,127,3,130
1978,121,5,126
1979,108,3,111
1980,103,6,109
1981,121,5,126
1982,123,6,129
1983,121,7,128
1984,121,8,129
1985,114,11,125
1986,107,3,110
1987,111,3,114
1988,116,5,121
1989,96,6,102
1990,111,9,120
1991,83,8,91
1992,88,10,98
1993,74,9,83
1994,83,10,93
1995,71,9,80
1996,68,9,77
1997,79,10,89
1998,75,7,82
1999,74,4,78
2000,78,7,85
2001,51,8,59
2002,58,7,65
2003,59,4,63
2004,52,2,54
2005,51,4,55
2006,61,5,66
2007,63,5,68
2008,61,7,68
2009,69,9,78
2010,67,7,74
2011,77,7,84
2012,73,5,78
2013,76,5,81
2014,92,4,96
2015,86,4,90
